2022-02-19,EXPENDITURE,50,SUPPER,1073
2022-02-19,EXPENDITURE,80,BREAKFAST,993
2022-02-20,EXPENDITURE,150,THANKSGIVING,843
2022-02-20,EXPENDITURE,110,TRANSPORT,733
2022-02-21,EXPENDITURE,80,SUPPER,653
2022-02-21,EXPENDITURE,110,BREAKFAST,543
2022-02-22,EXPENDITURE,90,LUNCH,453
2022-02-24,INCOME,3000,FORMODE,3453
2022-02-24,EXPENDITURE,170,LUNCH,3283
2022-02-24,EXPENDITURE,65,LUNCH,3218
2022-02-25,EXPENDITURE,60,LUNCH,3158
2022-02-25,EXPENDITURE,200,SUPPER,2958
2022-02-25,EXPENDITURE,45,SUPPER,2913
2022-02-26,EXPENDITURE,31,CREDIT,2882
2022-02-26,EXPENDITURE,2000,WITHDRAWN,882
2022-02-26,EXPENDITURE,31,BUNDLES,851
2022-02-27,EXPENDITURE,65,SUPPER,786
2022-02-27,EXPENDITURE,55,BREAKFAST,731
2022-02-28,EXPENDITURE,125,SUPPER,606
2022-03-01,EXPENDITURE,185,LUNCH,421
2022-03-01,EXPENDITURE,75,SUPPER,346
2022-03-02,EXPENDITURE,170,SUPPER,176
2022-03-02,EXPENDITURE,31,CREDIT,145
2022-03-04,EXPENDITURE,51,CREDIT,94
2022-03-04,EXPENDITURE,31,CREDIT,63
2022-03-04,INCOME,1000,FORMODE,1063
2022-03-04,EXPENDITURE,90,LUNCH,973
2022-03-04,EXPENDITURE,170,SUPPER,803
2022-03-04,EXPENDITURE,111,BREAKFAST,692
2022-03-05,EXPENDITURE,105,BREAKFAST,587
2022-03-06,EXPENDITURE,31,CREDIT,556
2022-03-06,EXPENDITURE,500,THANKSGIVING,56
2022-03-07,INCOME,1000,FORMODE,1056
2022-03-07,EXPENDITURE,90,LUNCH,966
2022-03-07,EXPENDITURE,35,SUPPER,931
2022-03-07,EXPENDITURE,85,BREAKFAST,846
2022-03-08,EXPENDITURE,51,CREDIT,795
2022-03-08,EXPENDITURE,85,SUPPER,710
2022-03-09,EXPENDITURE,90,LUNCH,620
2022-03-09,EXPENDITURE,31,CREDIT,589
2022-03-10,EXPENDITURE,60,LUNCH,529
2022-03-11,INCOME,1600,FORMODE,2129
2022-03-11,EXPENDITURE,1522,CSR,607
2022-03-11,EXPENDITURE,70,LUNCH,537
2022-03-11,EXPENDITURE,150,SUPPER,387
2022-03-12,EXPENDITURE,150,KINYOZI,237
2022-03-12,EXPENDITURE,120,SUPPER,117
2022-03-12,EXPENDITURE,35,SUPPER,82
2022-03-13,EXPENDITURE,31,CREDIT,51
2022-03-13,INCOME,1000,FORMODE,1051
2022-03-13,EXPENDITURE,170,LUNCH,881
2022-03-13,EXPENDITURE,200,THANKSGIVING,681
2022-03-13,EXPENDITURE,80,WITHDRAWN,601
